global_sent_idx,word_idx,beta,lossy_surprisal
0,0,0.1,
0,1,0.1,4.040392200338283
0,2,0.1,5.221663636922027
0,3,0.1,9.97370181636962
0,4,0.1,15.714779200260264
0,5,0.1,12.686047632777493
0,6,0.1,15.185759878275652
0,7,0.1,8.673757191211012
0,8,0.1,14.120213159700384
0,9,0.1,
0,10,0.1,
0,11,0.1,9.064161936253209
0,12,0.1,10.7286960226289
0,13,0.1,13.992490106450997
0,14,0.1,
0,15,0.1,13.833724184720875
0,16,0.1,6.83164345058283
0,17,0.1,17.824323211257695
0,18,0.1,13.614786108192368
0,0,0.3,
0,1,0.3,4.040392200338283
0,2,0.3,3.8041308617328484
0,3,0.3,9.740552389176449
0,4,0.3,15.901486661724643
0,5,0.3,12.985030115446278
0,6,0.3,14.077957297555633
0,7,0.3,8.193997552844895
0,8,0.3,14.120213159700384
0,9,0.3,15.596633121312028
0,10,0.3,8.45298894792692
0,11,0.3,8.123841584043374
0,12,0.3,10.274575374405254
0,13,0.3,15.302310250594392
0,14,0.3,5.278463315126581
0,15,0.3,14.820304847485962
0,16,0.3,6.687311979233909
0,17,0.3,18.345847907679527
0,18,0.3,15.12209832447825
0,0,0.5,
0,1,0.5,4.040392200338283
0,2,0.5,4.131562930714121
0,3,0.5,10.05918590763608
0,4,0.5,16.195437963925084
0,5,0.5,13.06866266442457
0,6,0.5,11.406510744142508
0,7,0.5,6.986553200246326
0,8,0.5,14.258627032889235
0,9,0.5,16.844528278527925
0,10,0.5,8.146802692932667
0,11,0.5,8.547896371396943
0,12,0.5,10.631691444184195
0,13,0.5,15.735962716125394
0,14,0.5,6.081088868966415
0,15,0.5,14.432096588423848
0,16,0.5,6.452462837947668
0,17,0.5,20.786212689586726
0,18,0.5,15.71210704561987
0,0,0.7,
0,1,0.7,4.040392200338283
0,2,0.7,3.8231698972605983
0,3,0.7,8.6249979010721
0,4,0.7,17.734383920886142
0,5,0.7,13.388774110061636
0,6,0.7,8.563772050209787
0,7,0.7,5.782990207629636
0,8,0.7,10.94230131271425
0,9,0.7,13.220495733321831
0,10,0.7,7.678657008582787
0,11,0.7,7.410258286708261
0,12,0.7,10.037757557269176
0,13,0.7,15.087333106497905
0,14,0.7,6.146702008793182
0,15,0.7,13.311223486755399
0,16,0.7,5.847846681497312
0,17,0.7,21.998416951552052
0,18,0.7,14.845204038012934
0,0,0.9,
0,1,0.9,4.0403922003382835
0,2,0.9,2.110989909875972
0,3,0.9,6.347970759754693
0,4,0.9,17.992728898154798
0,5,0.9,11.304518840805429
0,6,0.9,4.2115044298068085
0,7,0.9,3.7908713949114223
0,8,0.9,7.6951780231882365
0,9,0.9,9.89246931968065
0,10,0.9,7.372359794204035
0,11,0.9,5.929323969692388
0,12,0.9,8.866768057605224
0,13,0.9,11.73043490756308
0,14,0.9,5.221557919186542
0,15,0.9,13.675666109185178
0,16,0.9,5.424449687622511
0,17,0.9,19.929139465403246
0,18,0.9,10.547777815360467
0,0,1.0,
0,1,1.0,4.0403922003382835
0,2,1.0,0.591749563930185
0,3,1.0,5.032308330564962
0,4,1.0,17.8763692889924
0,5,1.0,10.679378277667478
0,6,1.0,2.4227268259757215
0,7,1.0,2.263306475862536
0,8,1.0,5.9775755426063135
0,9,1.0,4.489988386310583
0,10,1.0,7.3969077722714704
0,11,1.0,5.149573325194562
0,12,1.0,7.747552192225991
0,13,1.0,10.018345072880585
0,14,1.0,3.364859138257144
0,15,1.0,8.190644854255915
0,16,1.0,0.7782398972978514
0,17,1.0,16.852381705045836
0,18,1.0,3.8055819653495027
1,0,0.1,
1,1,0.1,16.14772729364639
1,2,0.1,5.611651496018531
1,3,0.1,13.50288487408135
1,4,0.1,20.704063318989476
1,5,0.1,15.027213887959457
1,6,0.1,6.997597765567596
1,7,0.1,8.530517656821603
1,8,0.1,10.876971140242512
1,9,0.1,11.370368796442868
1,10,0.1,17.37504949275576
1,0,0.3,
1,1,0.3,16.14772729364639
1,2,0.3,5.628061822589884
1,3,0.3,14.457372272587056
1,4,0.3,20.935309127547804
1,5,0.3,14.238913750844283
1,6,0.3,7.691496167003771
1,7,0.3,8.410836047973405
1,8,0.3,14.532824906561263
1,9,0.3,13.316129051095547
1,10,0.3,20.10346147633856
1,0,0.5,
1,1,0.5,16.147727293646394
1,2,0.5,5.624779757275614
1,3,0.5,12.923125729499704
1,4,0.5,18.837358345223983
1,5,0.5,15.629966405788043
1,6,0.5,7.687285618952286
1,7,0.5,9.260119066922092
1,8,0.5,20.97354130079123
1,9,0.5,13.315246192709719
1,10,0.5,19.86591334552213
1,0,0.7,
1,1,0.7,16.147727293646387
1,2,0.7,5.736812386131893
1,3,0.7,11.42413648121247
1,4,0.7,16.416380009845543
1,5,0.7,13.533462882508523
1,6,0.7,7.989740188755939
1,7,0.7,8.354630239439857
1,8,0.7,20.51288983784489
1,9,0.7,13.34882350336905
1,10,0.7,20.158574542798156
1,0,0.9,
1,1,0.9,16.147727293646387
1,2,0.9,5.749396494281646
1,3,0.9,10.436466404349712
1,4,0.9,12.177543766231373
1,5,0.9,11.566468643229229
1,6,0.9,7.936809193299825
1,7,0.9,6.844660387470009
1,8,0.9,20.076617895959462
1,9,0.9,11.962626964666452
1,10,0.9,17.068247638283715
1,0,1.0,
1,1,1.0,16.147727293646387
1,2,1.0,5.799052735496492
1,3,1.0,9.441652160076814
1,4,1.0,8.683965275197552
1,5,1.0,9.284323806928722
1,6,1.0,6.338007151256138
1,7,1.0,6.135852552056562
1,8,1.0,18.659384284591457
1,9,1.0,10.641912201142324
1,10,1.0,11.200862867735136
2,0,0.1,
2,1,0.1,11.325107090319397
2,2,0.1,15.3722207166187
2,3,0.1,11.224923756538795
2,4,0.1,20.605858817589702
2,5,0.1,15.460087261333134
2,6,0.1,17.50106960819283
2,7,0.1,3.77429961102744
2,8,0.1,24.003239685944084
2,0,0.3,
2,1,0.3,11.325107090319397
2,2,0.3,14.368001438928298
2,3,0.3,11.175008123446244
2,4,0.3,20.72272249070351
2,5,0.3,14.008986686621324
2,6,0.3,15.782180400712383
2,7,0.3,3.565293194353714
2,8,0.3,22.69732817108391
2,0,0.5,
2,1,0.5,11.325107090319396
2,2,0.5,14.20063155931323
2,3,0.5,11.466395653517418
2,4,0.5,20.155696758112928
2,5,0.5,13.050756114588106
2,6,0.5,14.941426134092314
2,7,0.5,3.8188437195401854
2,8,0.5,21.906745630353008
2,0,0.7,
2,1,0.7,11.325107090319396
2,2,0.7,12.465679778481038
2,3,0.7,11.079513517829954
2,4,0.7,19.957592319458836
2,5,0.7,12.392683449250127
2,6,0.7,14.66842067633264
2,7,0.7,3.364044284457356
2,8,0.7,18.206726704916015
2,0,0.9,
2,1,0.9,11.325107090319397
2,2,0.9,10.983162309569177
2,3,0.9,10.987548623889841
2,4,0.9,18.993850107398405
2,5,0.9,9.316801085960066
2,6,0.9,13.612730399566606
2,7,0.9,2.8717094466428033
2,8,0.9,13.84827507302975
