global_sent_idx,word_idx,beta,lossy_surprisal
0,0,0.1,
0,1,0.1,4.040392200338283
0,2,0.1,5.221663636922027
0,3,0.1,9.97370181636962
0,4,0.1,15.663674624349436
0,5,0.1,12.777618515678473
0,6,0.1,14.74263884598765
0,7,0.1,8.673757191211012
0,8,0.1,12.422601306118947
0,9,0.1,17.68654034241486
0,10,0.1,7.7781864299282795
0,11,0.1,8.612879460389198
0,12,0.1,10.817995331160061
0,13,0.1,13.636818908783994
0,14,0.1,5.507544107800041
0,15,0.1,14.771304096578803
0,16,0.1,7.024218616129348
0,17,0.1,17.580071372951913
0,18,0.1,13.54169732710775
0,0,0.3,
0,1,0.3,4.040392200338283
0,2,0.3,5.263795037032691
0,3,0.3,10.180694956359387
0,4,0.3,15.898986983325326
0,5,0.3,12.96383904610312
0,6,0.3,11.788526086044637
0,7,0.3,7.863593590994464
0,8,0.3,12.971843963333415
0,9,0.3,16.226497027879766
0,10,0.3,7.624529605406472
0,11,0.3,9.064090864422738
0,12,0.3,10.756065558928452
0,13,0.3,14.683961007166777
0,14,0.3,5.565428141085369
0,15,0.3,14.32453817995385
0,16,0.3,6.783224710532265
0,17,0.3,19.42691708551177
0,18,0.3,14.571374177976704
0,0,0.5,
0,1,0.5,4.040392200338283
0,2,0.5,4.667227718427165
0,3,0.5,9.631159119853445
0,4,0.5,16.684231039182908
0,5,0.5,13.232758796297741
0,6,0.5,11.451404641289537
0,7,0.5,7.235047862200333
0,8,0.5,13.164123475000334
0,9,0.5,16.12307611294148
0,10,0.5,8.031843366513593
0,11,0.5,8.597481759848732
0,12,0.5,10.293476408849047
0,13,0.5,16.00383817390537
0,14,0.5,5.962358392579678
0,15,0.5,13.552767986442493
0,16,0.5,6.2136645856480035
0,17,0.5,20.939335055663243
0,18,0.5,14.921916175383332
0,0,0.7,
0,1,0.7,4.040392200338284
0,2,0.7,4.232687282138879
0,3,0.7,9.29183217963805
0,4,0.7,17.78789948718288
0,5,0.7,12.810994954835012
0,6,0.7,8.422098741183866
0,7,0.7,5.91265581936632
0,8,0.7,10.884659858405346
0,9,0.7,13.823196916842727
0,10,0.7,8.430642773925321
0,11,0.7,7.701504511056193
0,12,0.7,10.466180433175795
0,13,0.7,15.700870949526374
0,14,0.7,6.320701174868812
0,15,0.7,13.921762457043723
0,16,0.7,5.217116307284143
0,17,0.7,21.572111614102955
0,18,0.7,15.48115005612628
0,0,0.9,
0,1,0.9,4.0403922003382835
0,2,0.9,1.9361914699503835
0,3,0.9,6.310602947236929
0,4,0.9,18.056623012052174
0,5,0.9,11.085511840509763
0,6,0.9,4.491545940308816
0,7,0.9,4.287187816834713
0,8,0.9,7.8216450699401046
0,9,0.9,9.684768286870055
0,10,0.9,8.726222170528077
0,11,0.9,6.111495577921176
0,12,0.9,9.312513662093604
0,13,0.9,13.00743118592785
0,14,0.9,5.174070829793619
0,15,0.9,11.94021378660626
0,16,0.9,3.975160193843833
0,17,0.9,19.115935578381595
0,18,0.9,10.35431506455111
0,0,1.0,
0,1,1.0,4.040392200338283
0,2,1.0,0.5917495639301852
0,3,1.0,5.0323083305649625
0,4,1.0,17.8763692889924
0,5,1.0,10.679378277667483
0,6,1.0,2.4227268259757215
0,7,1.0,2.2633064758625356
0,8,1.0,5.977575542606312
0,9,1.0,4.489988386310582
0,10,1.0,7.396907772271468
0,11,1.0,5.14957332519456
0,12,1.0,7.747552192225995
0,13,1.0,10.018345072880587
0,14,1.0,3.364859138257144
0,15,1.0,8.190644854255916
0,16,1.0,0.7782398972978514
0,17,1.0,16.852381705045836
0,18,1.0,3.805581965349502
1,0,0.1,
1,1,0.1,16.14772729364639
1,2,0.1,5.619856659304208
1,3,0.1,14.39459634467872
1,4,0.1,21.211589723406256
1,5,0.1,
1,6,0.1,7.674286482269473
1,7,0.1,8.530517656821603
1,8,0.1,11.22907606438539
1,9,0.1,14.188923668373093
1,10,0.1,17.37504949275576
1,0,0.3,
1,1,0.3,16.147727293646387
1,2,0.3,5.628316920634073
1,3,0.3,14.418755626667853
1,4,0.3,19.118698967865544
1,5,0.3,14.708678353748777
1,6,0.3,7.750906356636337
1,7,0.3,8.394992197857466
1,8,0.3,14.100860378515769
1,9,0.3,13.112065494502708
1,10,0.3,18.248053872038305
1,0,0.5,
1,1,0.5,16.147727293646383
1,2,0.5,5.656330719834551
1,3,0.5,13.119708737049162
1,4,0.5,18.837699975242344
1,5,0.5,13.986379435863268
1,6,0.5,8.333221778326344
1,7,0.5,9.249135569797856
1,8,0.5,18.295318986938195
1,9,0.5,13.533364442052964
1,10,0.5,18.86417128846351
1,0,0.7,
1,1,0.7,16.14772729364639
1,2,0.7,5.703837404557415
1,3,0.7,12.115710768045231
1,4,0.7,14.858962402284405
1,5,0.7,13.694735663339253
1,6,0.7,8.255008212350848
1,7,0.7,8.485746273235742
1,8,0.7,21.372931817733452
1,9,0.7,12.922495739418878
1,10,0.7,19.762915858192276
1,0,0.9,
1,1,0.9,16.147727293646394
1,2,0.9,5.765510965978026
1,3,0.9,10.229179127400561
1,4,0.9,12.69267420568453
1,5,0.9,10.853372066132259
1,6,0.9,7.227302210574437
1,7,0.9,7.2093369922962856
1,8,0.9,19.913662550806862
1,9,0.9,12.108116637508074
1,10,0.9,16.946564954538456
1,0,1.0,
1,1,1.0,16.147727293646394
1,2,1.0,5.799052735496494
1,3,1.0,9.441652160076815
1,4,1.0,8.683965275197552
1,5,1.0,9.284323806928725
1,6,1.0,6.3380071512561384
1,7,1.0,6.135852552056563
1,8,1.0,18.659384284591457
1,9,1.0,10.64191220114232
1,10,1.0,11.200862867735136
2,0,0.1,
2,1,0.1,11.325107090319396
2,2,0.1,15.3722207166187
2,3,0.1,11.290881363488094
2,4,0.1,20.930641002455435
2,5,0.1,15.05377910041383
2,6,0.1,17.503208554701786
2,7,0.1,3.9304575649088593
2,8,0.1,23.9896856953934
2,0,0.3,
2,1,0.3,11.325107090319396
2,2,0.3,15.287780416724104
2,3,0.3,11.4404009448831
2,4,0.3,20.96275296035252
2,5,0.3,15.115961146799872
2,6,0.3,16.44334881395982
2,7,0.3,3.768261697865527
2,8,0.3,23.04755200338116
2,0,0.5,
2,1,0.5,11.325107090319399
2,2,0.5,13.492453094410617
2,3,0.5,11.238493653709376
2,4,0.5,20.696343482145405
2,5,0.5,13.2871294233583
2,6,0.5,15.47692175946523
2,7,0.5,3.9710235189745107
2,8,0.5,21.31175488321198
2,0,0.7,
2,1,0.7,11.3251070903194
2,2,0.7,12.086144184834875
2,3,0.7,11.275141197634953
2,4,0.7,19.682470177221568
2,5,0.7,12.28693179878601
2,6,0.7,14.171106248545444
2,7,0.7,3.2866777581103577
2,8,0.7,17.47427145501938
2,0,0.9,
2,1,0.9,11.325107090319399
2,2,0.9,9.973883738915733
2,3,0.9,10.839051238706135
2,4,0.9,18.741096884608925
2,5,0.9,9.068724402944106
2,6,0.9,13.401657725997863
2,7,0.9,3.0493548980178584
