measure,aic,r2_marg,surp_b,surp_p,dep_b,dep_p
FFD,287799.196938205,4.318291084058434e-4,-0.007365970358336324,0.02431564629728912,0.00429369716242992,0.056022221886237684
GD,308284.24304983614,7.402034333446354e-4,0.0011594521665386714,0.7920047085712173,0.004882199568385495,0.10399193991006582
GPT,340598.7237748957,0.017359106047847274,-0.008414618362458184,0.17732648860191172,0.01339873224331402,0.002119162966207558
TRT,331926.95927516645,0.011009363257930824,0.002778741982545552,0.6127689103431454,0.00476660784459709,0.20854207870938835
reg,33085.981455949426,NA,0.0928259520376384,2.9750972597066684e-5,0.03970621181193082,0.006220373213711069
