subject,beta,measure,measure_type,n_obs,delta_aic,lossy_est,lossy_se
ZDN,0.9,reg,late,3174,6.4402713519903045,-0.8762229860938499,0.308169589358505
ZGW,0.1,FFD,early,2225,-1.8233617198966385,0.005033865799491479,0.011975262257231858
ZGW,0.1,GD,early,2225,-1.8094698235508986,0.0062810692196697306,0.014355418301786714
ZGW,0.1,GPT,late,2225,-1.5284798652501195,-0.01807838457264575,0.026348290350269324
ZGW,0.1,TRT,late,2225,-1.8055816397099989,0.009436758556185714,0.021401919427533164
ZGW,0.1,reg,late,4206,-0.5088300087973039,-0.08320673462759606,0.06807875024793995
ZGW,0.3,FFD,early,2229,-1.5292792454383743,0.009696409329463633,0.014129791968344995
ZGW,0.3,GD,early,2229,-0.9878339020469866,0.01703038147878467,0.016926526627362676
ZGW,0.3,GPT,late,2229,-1.9517710501386318,-0.006854347726899647,0.03122694038879324
ZGW,0.3,TRT,late,2229,-1.7509934462250385,0.012500944733123524,0.024973353723404913
ZGW,0.3,reg,late,4218,-0.6193781806050538,-0.09426492710271193,0.08027014384497384
ZGW,0.5,FFD,early,2229,-1.9724800969852367,0.002907164406130776,0.017566139814499768
ZGW,0.5,GD,early,2229,-1.868756115429278,0.00763525876086871,0.021076487247806332
ZGW,0.5,GPT,late,2229,-1.90407846076414,-0.012060002843153042,0.0389351393159002
ZGW,0.5,TRT,late,2229,-1.9982338089430414,-0.0013010325616568705,0.030789794994807537
ZGW,0.5,reg,late,4218,-0.7270462524929826,-0.11419053441892571,0.10146985954875855
ZGW,0.7,FFD,early,2229,-1.9154112281139533,-0.006538882830898567,0.022485379972028614
ZGW,0.7,GD,early,2229,-1.7251326001714915,0.014200860259107141,0.027102781578055367
ZGW,0.7,GPT,late,2229,-1.862939387534425,0.01861299674620911,0.0503269837812301
ZGW,0.7,TRT,late,2229,-1.8613906349091849,0.014705256301435566,0.03954276401793633
ZGW,0.7,reg,late,4218,-1.5794584684699657,-0.08506746079879603,0.1314465098333981
ZGW,0.9,FFD,early,2229,-1.999378038024588,8.662523233082394e-4,0.037151435378291
ZGW,0.9,GD,early,2229,-1.1289714655285934,0.04218877477569912,0.045281415064493145
ZGW,0.9,GPT,late,2229,-0.8838786781598174,0.0869113505182092,0.08251379947271804
ZGW,0.9,TRT,late,2229,-1.9953907136368798,0.004482343442004622,0.06606072221917023
ZGW,0.9,reg,late,4218,-1.2349682737194598,-0.19817638729699508,0.227476791472876
ZJM,0.1,FFD,early,2407,-1.5316622442478547,-0.008761973081305158,0.01280738947495659
ZJM,0.1,GD,early,2407,-0.658214064729691,-0.02042939040574667,0.017649359434814188
ZJM,0.1,GPT,late,2407,-1.874817411226104,0.00809354221314269,0.022872720224120607
ZJM,0.1,TRT,late,2407,3.2016323162897606,-0.045471281344830916,0.019969032363973235
ZJM,0.1,reg,late,4206,3.599827403760173,-0.19300014766967644,0.08137378163273395
ZJM,0.3,FFD,early,2413,-1.6516103694484627,-0.008637780697275298,0.01497485020491989
ZJM,0.3,GD,early,2413,-1.4887185364132165,-0.014739521813020458,0.020608450220416193
ZJM,0.3,GPT,late,2413,-1.9091486503311899,0.008032421468288378,0.02665029692636613
ZJM,0.3,TRT,late,2413,3.756870743323816,-0.055838724337063377,0.02326166478576985
ZJM,0.3,reg,late,4218,6.859974047966716,-0.28778983067997765,0.09705617781002994
ZJM,0.5,FFD,early,2413,-1.7338338511435722,-0.009209650692128675,0.01838149907766796
ZJM,0.5,GD,early,2413,-1.9079248348461988,-0.007681874221387832,0.025267241818395434
ZJM,0.5,GPT,late,2413,-1.734083549643401,0.016784516263603017,0.03254182622974874
ZJM,0.5,TRT,late,2413,2.96274280873331,-0.06325664794981019,0.028323283830698313
ZJM,0.5,reg,late,4218,12.488007646614278,-0.4736515709634825,0.12685545138777762
ZJM,0.7,FFD,early,2413,-1.9444536490264,-0.004646609502999925,0.023314694167510506
ZJM,0.7,GD,early,2413,-1.847534403721511,0.012474244133641451,0.031960329769528846
ZJM,0.7,GPT,late,2413,-1.2424289736809442,0.035720804716425573,0.04107901493706296
ZJM,0.7,TRT,late,2413,0.6626619250891963,-0.05858264123122329,0.03578504990562057
ZJM,0.7,reg,late,4218,15.470027422598832,-0.6988640942906447,0.17180451061130808
ZJM,0.9,FFD,early,2413,-1.3980327862627746,-0.030363239643089873,0.03952104901962561
ZJM,0.9,GPT,late,2413,-1.8980189976573456,0.022286772525007922,0.06982454605794983
ZJM,0.9,TRT,late,2413,-0.43004720487078885,-0.07587582872129539,0.06041211088757861
ZJM,0.9,reg,late,4218,5.941557691251546,-0.8390273264935403,0.3038675090642224
ZJN,0.1,FFD,early,2323,-1.8846592000954843,-7.444522732208201e-4,0.01111596472265515
